Func.,Seção,Administr.,Direito,Redação,Estatíst.,Inglês,Metodologia,Política,Economia
1,P,8,9,8.6,9,B,A,9,8.5
2,P,8,9,7,9,B,C,6.5,8
3,P,8,9,8,8,D,B,9,8.5
4,P,6,9,8.6,8,D,C,6,8.5
5,P,8,9,8,9,A,A,6.5,9
6,P,8,9,8.5,10,B,A,6.5,9.5
7,P,8,9,8.2,8,D,C,9,7
8,T,10,9,7.5,8,B,C,6,8.5
9,T,8,9,9.4,9,B,B,10,8
10,T,10,9,7.9,8,B,C,9,7.5
11,T,8,9,8.6,10,C,B,10,8.5
12,T,8,9,8.3,7,D,B,6.5,8
13,T,6,9,7,7,B,C,6,8.5
14,T,10,9,8.6,9,A,B,10,7.5
15,V,8,9,8.6,9,C,B,10,7
16,V,8,9,9.5,7,A,A,9,7.5
17,V,8,9,6.3,8,D,C,10,7.5
18,V,6,9,7.6,9,C,C,6,8.5
19,V,6,9,6.8,4,D,C,6,9.5
20,V,6,9,7.5,7,C,B,6,8.5
21,V,8,9,7.7,7,D,B,6.5,8
22,V,6,9,8.7,8,C,A,6,9
23,V,8,9,7.3,10,C,C,9,7
24,V,8,9,8.5,9,A,A,6.5,9
25,V,8,9,7,9,B,A,9,8.5